"Año","Nivel de experiencia","Tipo de contrato","Rol","Moneda de pago","Salario en USD","Residencia del empleado","Modalidad de trabajo","Ubicación de la empresa","Tamaño de la compañía"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",185000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",262000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",245000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",275300,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",183500,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",218500,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",199098,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",203300,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",123600,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",189110,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",139000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Ejecutivo","Tiempo completo","Científico de datos","Dólar americano",258750,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Ejecutivo","Tiempo completo","Científico de datos","Dólar americano",185000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",231500,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",166000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",172500,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",110500,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",238000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",176000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",237000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",201450,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",159100,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",115000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",81500,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",237000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",201450,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",280000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",210000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Arquitecto de datos","Dólar americano",280100,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Arquitecto de datos","Dólar americano",168100,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",193500,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",139000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Científico de datos","Otra",65062,"Otro","Presencial","Otro","Grande"
"2023","Senior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",150000,"Otro","Remota","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Otro","Euro",69751,"India","Remota","Alemania","Pequeña"
"2023","Intermedio","Tiempo completo","Ingeniero de aprendizaje automático","Euro",96578,"Otro","Remota","Otro","Grande"
"2023","Senior","Tiempo completo","Otro","Dólar americano",185900,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",129300,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",225000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",175000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",185000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",140000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Euro",48289,"España","Presencial","España","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Euro",38631,"España","Presencial","España","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",105000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",70000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Junior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",163196,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Junior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",145885,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",217000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",185000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",202800,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",104300,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",145000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",65000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",165000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",132300,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",179170,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",94300,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",152500,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",116450,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",247300,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",133800,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",203000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",133000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Junior","Tiempo completo","Investigador científico","Dólar americano",220000,"Estados Unidos","Parcialmente remota","Estados Unidos","Grande"
"2022","Junior","Tiempo completo","Ingeniero de aprendizaje automático","Otra",56536,"Otro","Remota","Otro","Pequeña"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",150000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",120000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",289800,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",214000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",179820,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",143860,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",283200,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",188800,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",289800,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",214200,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",185900,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",129300,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",252000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",129000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Otro","Dólar americano",155000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Otro","Dólar americano",140000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",161800,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",141600,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",176100,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Intermedio","Tiempo completo","Ingeniero de datos","Dólar americano",100000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Ingeniero de datos","Dólar americano",70000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Junior","Tiempo completo","Ingeniero de datos","Dólar americano",85000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Junior","Tiempo completo","Ingeniero de datos","Dólar americano",65000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",138784,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",83270,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Junior","Tiempo completo","Analista de datos","Dólar americano",75000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Junior","Tiempo completo","Analista de datos","Dólar americano",70000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",204500,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",138900,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",212200,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",95000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",75000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",195000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",160000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",230000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",143200,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Ingeniero de datos","Dólar americano",100000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Ingeniero de datos","Dólar americano",70000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Otro","Dólar americano",105000,"Estados Unidos","Parcialmente remota","Estados Unidos","Grande"
"2023","Intermedio","Tiempo completo","Otro","Rupia india",20670,"India","Remota","India","Grande"
"2023","Intermedio","Tiempo completo","Analista de datos","Libra esterlina",46178,"Reino Unido","Presencial","Reino Unido","Mediana"
"2023","Intermedio","Tiempo completo","Analista de datos","Libra esterlina",42533,"Reino Unido","Presencial","Reino Unido","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",145000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",115000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",168400,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",105200,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",159100,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Senior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",190000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",150000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Ingeniero de datos","Dólar americano",162500,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Ingeniero de datos","Dólar americano",130000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",150000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de análisis","Dólar americano",120000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",145000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",120000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",222200,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Senior","Tiempo completo","Otro","Dólar americano",136000,"Estados Unidos","Presencial","Estados Unidos","Grande"
"2023","Senior","Tiempo completo","Analista de datos","Libra esterlina",54685,"Otro","Remota","Otro","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Libra esterlina",42533,"Otro","Remota","Otro","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",241000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",155000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",220000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",190000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Científico de datos","Libra esterlina",66837,"Reino Unido","Presencial","Reino Unido","Mediana"
"2023","Intermedio","Tiempo completo","Científico de datos","Libra esterlina",54685,"Reino Unido","Presencial","Reino Unido","Mediana"
"2020","Ejecutivo","Tiempo completo","Otro","Dólar americano",15000,"Otro","Presencial","Canadá","Mediana"
"2023","Intermedio","Tiempo completo","Otro","Libra esterlina",85066,"Reino Unido","Remota","Reino Unido","Mediana"
"2023","Intermedio","Tiempo completo","Otro","Libra esterlina",57723,"Reino Unido","Remota","Reino Unido","Mediana"
"2023","Junior","Tiempo completo","Analista de datos","Dólar americano",85000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Junior","Tiempo completo","Analista de datos","Dólar americano",75000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",160000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",140000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",250000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",228000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",186000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",190000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",170000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Otro","Dólar americano",230000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Otro","Dólar americano",200000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Arquitecto de datos","Dólar americano",180000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Arquitecto de datos","Dólar americano",115000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Arquitecto de datos","Dólar americano",200000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Arquitecto de datos","Dólar americano",115000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Euro",53654,"Otro","Parcialmente remota","Otro","Pequeña"
"2023","Ejecutivo","Tiempo completo","Ingeniero de datos","Dólar americano",220000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Ejecutivo","Tiempo completo","Ingeniero de datos","Dólar americano",205000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Ingeniero de datos","Dólar americano",180000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Intermedio","Tiempo completo","Ingeniero de datos","Dólar americano",130000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",200000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",150000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",215000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",170000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",247500,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de aprendizaje automático","Dólar americano",172200,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",224000,"Canadá","Presencial","Canadá","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",176000,"Canadá","Presencial","Canadá","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",120000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",75000,"Estados Unidos","Remota","Estados Unidos","Mediana"
"2023","Junior","Tiempo completo","Ingeniero de datos","Rupia india",17022,"India","Remota","India","Grande"
"2023","Senior","Tiempo completo","Otro","Dólar australiano",68318,"Otro","Remota","Otro","Mediana"
"2023","Intermedio","Tiempo completo","Otro","Otra",75020,"Otro","Presencial","Otro","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",140000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Analista de datos","Dólar americano",120000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",128000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",81500,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",145000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",115000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",185000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Ingeniero de datos","Dólar americano",140000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Ejecutivo","Tiempo completo","Otro","Dólar americano",269600,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",100000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Otro","Dólar americano",80000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",250000,"Estados Unidos","Presencial","Estados Unidos","Mediana"
"2023","Senior","Tiempo completo","Científico de datos","Dólar americano",162500,"Estados Unidos","Presencial","Estados Unidos","Mediana"
